Trading Date,Company1,Company2,Change in C1,Change in C2
1/2/2019, $43.12 , $64.32 ,,
1/3/2019, $42.06 , $61.53 , $(1.06), $(2.79)
1/4/2019, $42.41 , $63.57 , $0.35 , $2.04 
1/7/2019, $43.87 , $63.57 , $1.46 , $-   
1/8/2019, $46.20 , $63.62 , $2.33 , $0.05 
1/9/2019, $46.10 , $63.88 , $(0.10), $0.26 
1/10/2019, $45.92 , $64.19 , $(0.18), $0.31 
1/11/2019, $46.11 , $63.73 , $0.19 , $(0.46)
1/14/2019, $45.52 , $63.37 , $(0.59), $(0.36)
1/15/2019, $45.65 , $64.08 , $0.13 , $0.71 
1/16/2019, $45.74 , $63.77 , $0.09 , $(0.31)
1/17/2019, $46.08 , $64.28 , $0.34 , $0.51 
1/18/2019, $46.09 , $64.70 , $0.01 , $0.42 
1/22/2019, $44.53 , $65.39 , $(1.56), $0.69 
1/23/2019, $44.86 , $66.43 , $0.33 , $1.04 
1/24/2019, $44.72 , $64.74 , $(0.14), $(1.69)
1/25/2019, $44.91 , $67.09 , $0.19 , $2.35 
1/28/2019, $45.90 , $66.90 , $0.99 , $(0.19)
1/29/2019, $44.91 , $67.04 , $(0.99), $0.14 
1/30/2019, $45.17 , $68.15 , $0.26 , $1.11 
1/31/2019, $44.88 , $68.14 , $(0.29), $(0.01)
2/1/2019, $44.97 , $68.11 , $0.09 , $(0.03)
2/4/2019, $45.96 , $67.58 , $0.99 , $(0.53)
2/5/2019, $46.37 , $69.34 , $0.41 , $1.76 
2/6/2019, $46.10 , $68.85 , $(0.27), $(0.49)
2/7/2019, $46.06 , $69.14 , $(0.04), $0.29 
2/8/2019, $46.14 , $69.75 , $0.08 , $0.61 
2/11/2019, $45.62 , $69.99 , $(0.52), $0.24 
2/12/2019, $45.99 , $69.75 , $0.37 , $(0.24)
2/13/2019, $46.03 , $70.51 , $0.04 , $0.76 
2/14/2019, $46.88 , $70.84 , $0.85 , $0.33 
2/15/2019, $47.03 , $70.71 , $0.15 , $(0.13)
2/19/2019, $46.50 , $70.20 , $(0.53), $(0.51)
2/20/2019, $46.38 , $70.39 , $(0.12), $0.19 
2/21/2019, $48.84 , $70.70 , $2.46 , $0.31 
2/22/2019, $47.53 , $71.30 , $(1.31), $0.60 
2/25/2019, $46.48 , $71.05 , $(1.05), $(0.25)
2/26/2019, $46.23 , $71.14 , $(0.25), $0.09 
2/27/2019, $46.81 , $70.15 , $0.58 , $(0.99)
2/28/2019, $47.30 , $70.26 , $0.49 , $0.11 
3/1/2019, $46.85 , $70.85 , $(0.45), $0.59 
3/4/2019, $45.45 , $70.95 , $(1.40), $0.10 
3/5/2019, $46.68 , $71.58 , $1.23 , $0.63 
3/6/2019, $46.63 , $71.27 , $(0.05), $(0.31)
3/7/2019, $46.42 , $70.61 , $(0.21), $(0.66)
3/8/2019, $46.13 , $69.36 , $(0.29), $(1.25)
3/11/2019, $46.43 , $69.68 , $0.30 , $0.32 
3/12/2019, $46.26 , $70.05 , $(0.17), $0.37 
3/13/2019, $46.29 , $70.10 , $0.03 , $0.05 
3/14/2019, $46.74 , $70.74 , $0.45 , $0.64 
3/15/2019, $46.41 , $70.67 , $(0.33), $(0.07)
